network_name	network_size	batch_size	latent_features	beta	learning_rate	weight_decay	patience	training_runs	training_time	train_loss	eval_loss	test_loss	training_beta_kl_loss	training_recon_loss
VAE_e30_lf1024_b0.01_hl128_lr1e-05	0	500	1024	0.01	1e-05	0	0	30	[221.2680003643036, 116.74513959884644, 116.49425411224365, 116.40531730651855, 116.32301735877991, 116.47928953170776, 116.45977401733398, 116.44476437568665, 116.41059803962708, 116.39922451972961, 116.39121103286743, 116.40492343902588, 116.32603979110718, 116.37755155563354, 116.38231205940247, 116.37351441383362, 116.27235507965088, 116.237553358078, 116.22685503959656, 116.26582837104797, 116.23097825050354, 116.23712635040283, 116.21370458602905, 116.17188477516174, 116.22429847717285, 116.1674325466156, 116.20809125900269, 116.17860317230225, 116.17500472068787, 116.15877175331116]	[104.05094707792713, 2.579097333408537, 2.516715197336106, 2.4503514830555235, 2.3821196917976653, 2.316631454797018, 2.2543248654831025, 2.1996568789084754, 2.152137409363474, 2.112127547817571, 2.0799123925112544, 2.054948530381634, 2.0363205093003454, 2.0220541024491903, 2.0126165282868205, 2.0050882693557512, 2.0009623240856897, 1.9967137628367968, 1.993939978380998, 1.9924842718811262, 1.9914162531495094, 1.9898603700456166, 1.9882164224982262, 1.9882261639549619, 1.9869245727147375, 1.9865429124661855, 1.9860074112103099, 1.9858773251374562, 1.9858363444606464, 1.9855375687281291]	0	0	[101.1112324096085, 0.5808289318035046, 0.5206738658958957, 0.45592737330922056, 0.38922804753695217, 0.32409949472085353, 0.263302703432384, 0.20875335214216084, 0.1615846399661331, 0.1222340152820661, 0.09054709897775735, 0.06590739915901352, 0.0473852111303824, 0.03388552352719541, 0.024387926473060532, 0.017845065263654328, 0.013135957944628206, 0.009814995292496556, 0.007532176000365455, 0.005756953767212551, 0.004548013857510384, 0.0034936069610661696, 0.0027945192636079376, 0.0021061262166421372, 0.0015127305947923257, 0.0010821486844395708, 0.0008690412602542589, 0.0007316094990875129, 0.000419558914819347, 0.0005453888355813909]	[2.9397164313566115, 1.9982683977910451, 1.9960413305532365, 1.994424113205501, 1.9928916408902122, 1.992531959144842, 1.991022153269677, 1.9909035290280979, 1.9905527734330721, 1.9898935386112757, 1.9893652928017436, 1.9890411357794489, 1.9889352963793845, 1.9881685762887908, 1.988228598875659, 1.9872431992774917, 1.9878263629618145, 1.986898769934972, 1.98640780434722, 1.9867273228509086, 1.9868682367461068, 1.9863667647753442, 1.9854218977547826, 1.9861200370249295, 1.9854118391161872, 1.9854607631762822, 1.9851383701676415, 1.9851457182140577, 1.985416785237335, 1.984992180906591]
VAE_e30_lf1024_b0.05_hl128_lr1e-05	0	500	1024	0.05	1e-05	0	0	30	[116.9102246761322, 116.35702657699585, 116.33091068267822, 116.23256707191467, 116.2489275932312, 116.21304726600647, 116.31440615653992, 116.30617022514343, 116.30749225616455, 116.28406286239624, 116.35979866981506, 116.26623153686523, 116.26921820640564, 116.22022533416748, 116.21402311325073, 116.17478036880493, 116.13553643226624, 116.12322854995728, 116.12244176864624, 116.11519408226013, 116.07563757896423, 116.06633520126343, 116.08577609062195, 116.01159906387329, 116.06127285957336, 115.99469757080078, 115.95417714118958, 115.86500430107117, 115.91817617416382, 115.92104244232178]	[651.9143584597679, 5.014542937278748, 4.723298501400721, 4.410538413694927, 4.08361571601459, 3.760122394987515, 3.453714823439008, 3.1735596394255046, 2.9261650152149654, 2.714377699863343, 2.539794861560776, 2.400062491496404, 2.291802920755886, 2.2093050494080497, 2.149106115102768, 2.105438753962517, 2.0743141007565318, 2.0542351145829474, 2.0363729578398524, 2.0246963277459145, 2.0157206782272885, 2.0090991567288126, 2.003887545849596, 1.99980767142205, 1.9963590559505282, 1.993492025704611, 1.9913359639190493, 1.9897638772215163, 1.988149137369224, 1.9872452151917277]	0	0	[648.9614751558928, 3.0161596416007903, 2.727649237783182, 2.416154284917173, 2.090783570493971, 1.768270189918223, 1.4622075344835008, 1.1825150847434998, 0.9356657969100135, 0.7249337767383882, 0.5507920955618223, 0.41137479795586496, 0.30310641792381093, 0.22140214321691365, 0.16125387152923004, 0.11785102857365495, 0.08702738116317917, 0.06690057095450659, 0.04982266743623075, 0.038436680483365696, 0.02958426430510978, 0.023013119560865953, 0.01792213225659604, 0.013901105533087892, 0.010709592906226004, 0.008211597481498583, 0.006222518160939217, 0.004631312120528449, 0.0033793022947585477, 0.0024084171548435862]	[2.9528764504052343, 1.9983832892917452, 1.9956492618435906, 1.9943841163601195, 1.9928321597122012, 1.9918522001022385, 1.9915072939225607, 1.9910445472314244, 1.9904992108543713, 1.9894439141665186, 1.9890027652893747, 1.988687702232883, 1.9886965130766232, 1.987902904905024, 1.9878522466335977, 1.9875877332829295, 1.9872867159900212, 1.987334549781822, 1.98655028570266, 1.9862596474233127, 1.986136417658556, 1.9860860382517178, 1.9859654158353806, 1.985906569730668, 1.9856494619023233, 1.9852804307426726, 1.985113446201597, 1.9851325629722505, 1.9847698346489953, 1.9848367997578211]
VAE_e30_lf1024_b0.1_hl128_lr1e-05	0	500	1024	0.1	1e-05	0	0	30	[117.05687475204468, 116.50213694572449, 116.49296617507935, 116.39493227005005, 116.40894961357117, 116.39394927024841, 116.37162566184998, 116.31817936897278, 116.35406255722046, 116.31219720840454, 116.33152890205383, 116.33217811584473, 116.32683968544006, 116.28145217895508, 116.31949043273926, 116.29583787918091, 116.29416847229004, 116.30026698112488, 116.28559947013855, 116.19788694381714, 116.24497389793396, 116.25061559677124, 116.24900817871094, 116.23456382751465, 116.22612023353577, 116.20807600021362, 116.10920000076294, 116.13844394683838, 116.1642279624939, 116.17750883102417]	[1880.6453302417483, 7.812967716228394, 7.320048730997812, 6.791796092476163, 6.227580659446263, 5.651775114593052, 5.0875585575898485, 4.55490727580729, 4.067837992594356, 3.6372610593125936, 3.2678693589710055, 2.9620362328631535, 2.7164503790083385, 2.5253492501519976, 2.3810897831405913, 2.2751984972329367, 2.199594986580667, 2.1503429668290273, 2.1089330056593534, 2.082519238903409, 2.062456348112651, 2.0481260887214114, 2.036687864788941, 2.0285735868272328, 2.020348222482772, 2.0149158718330518, 2.0110484237472215, 2.005255051666782, 2.00063989063104, 1.9984377863861265]	0	0	[1877.6907412878104, 5.814490700051898, 5.323951792858896, 4.797568717882747, 4.234505231181781, 3.6595885100818815, 3.0962727743954885, 2.5639558193229495, 2.0775739305785725, 1.6473230776332675, 1.2787939471503098, 0.97316018030757, 0.7277479648057904, 0.536890948634772, 0.3929608331194946, 0.2874058930292016, 0.21175598291059336, 0.16336446894066675, 0.12232540135404893, 0.09572050982110557, 0.07599538550268681, 0.061600404470005914, 0.05051363389273839, 0.042589623968870866, 0.034773292568778355, 0.028843139170757717, 0.025795425593276463, 0.019695909023063167, 0.01586518325521389, 0.013310445189875151]	[2.9546036518045833, 1.9984770275297619, 1.996096932107494, 1.9942273476294108, 1.993075430393219, 1.9921866027372224, 1.9912857856778872, 1.9909514579034986, 1.9902640644993101, 1.9899379809697468, 1.9890754038379306, 1.9888760504268466, 1.9887024036475591, 1.9884583048877262, 1.9881289452314377, 1.9877926086386044, 1.987839009435404, 1.9869785071128891, 1.9866076055027189, 1.9867987306345076, 1.9864609624658311, 1.9865256860142662, 1.98617423361256, 1.9859839617496444, 1.9855749380020868, 1.986072732224351, 1.985253003026758, 1.985559137449378, 1.9847747115861802, 1.9851273429535685]
VAE_e30_lf1024_b0.5_hl128_lr1e-05	0	500	1024	0.5	1e-05	0	0	30	[116.95238184928894, 116.36942195892334, 116.3388454914093, 116.30623507499695, 116.29236721992493, 116.31709146499634, 116.34864258766174, 116.33113050460815, 116.27921056747437, 116.30308198928833, 116.31444358825684, 116.26549553871155, 116.2102210521698, 116.17858076095581, 116.15303659439087, 116.1504418849945, 116.16006708145142, 116.1220293045044, 116.12969040870667, 116.07878875732422, 116.07089567184448, 116.08150553703308, 116.03519606590271, 116.08952522277832, 116.02862572669983, 116.03467631340027, 116.03178286552429, 116.03729557991028, 116.03429007530212, 115.9713089466095]	[7454.5526271434055, 31.5908507222221, 28.85019602662041, 25.909984543209983, 22.816317978359404, 19.717671590191976, 16.745882425989425, 14.001147559710912, 11.554925146557036, 9.444793628794807, 7.687244999976385, 6.269399684099924, 5.1616483728090925, 4.322445288300514, 3.7039721728790376, 3.257438219019345, 2.938850087778909, 2.718592080331984, 2.5649954868214473, 2.4376970600514185, 2.343093168167841, 2.2666262203738805, 2.2066944653079625, 2.158934927412442, 2.1214237848208066, 2.0909279446516718, 2.065963799399989, 2.049455053394749, 2.0358729589553106, 2.0296140501186963]	0	0	[7451.597909274556, 29.592662527447654, 26.85455672513871, 23.915878131276084, 20.823194855735416, 17.725802112193335, 14.75477352312633, 12.01092298825582, 9.564481711103802, 7.455790362187794, 5.698013871908188, 4.280245818552517, 3.1731432740177428, 2.334542520699047, 1.71629118564583, 1.2699003255083448, 0.9515436114299864, 0.7318044712855702, 0.5785757397257146, 0.45111063513017835, 0.3566616963417757, 0.2801675529529651, 0.2210274272642675, 0.17338501222963845, 0.1357519734384758, 0.10561863692211253, 0.0812584138253615, 0.06416417197102592, 0.05087103064925898, 0.04478484618344477]	[2.9547118211076375, 1.9981882284794534, 1.9956393068035443, 1.9941064314473242, 1.993123136460781, 1.9918695127680188, 1.9911088893810909, 1.99022457358383, 1.990443426938284, 1.9890032740575927, 1.989231136228357, 1.9891538708692504, 1.9885051119185628, 1.9879027523455166, 1.9876809886523656, 1.9875378935110002, 1.9873064784776597, 1.9867875955644108, 1.9864197423060734, 1.9865864213733446, 1.9864314755513555, 1.9864586662678492, 1.9856670367575826, 1.9855499171784945, 1.98567181683722, 1.985309310967014, 1.98470538854599, 1.985290876811459, 1.9850019301686967, 1.9848291991012437]
VAE_e30_lf1024_b1.0_hl128_lr1e-05	0	500	1024	1.0	1e-05	0	0	30	[117.04436826705933, 116.49619507789612, 116.45897197723389, 116.37575197219849, 116.39512538909912, 116.36620903015137, 116.32848262786865, 116.33271074295044, 116.29547238349915, 116.31135201454163, 116.22421073913574, 116.20804357528687, 116.19787216186523, 116.18556594848633, 116.18579125404358, 116.20304989814758, 116.20749354362488, 116.15654230117798, 116.17528653144836, 116.18013978004456, 116.17715573310852, 116.17180323600769, 116.1656231880188, 116.18033194541931, 116.15769934654236, 116.15426754951477, 116.0983874797821, 116.0970573425293, 116.15242767333984, 116.08533883094788]	[17330.865560168313, 60.895997285842896, 55.868251335053216, 50.42604348773048, 44.619550659542995, 38.71764001392183, 32.96210849285126, 27.55398412545522, 22.639676553862436, 18.319769271782466, 14.639236129465557, 11.603204610801878, 9.175528326204844, 7.292379755349386, 5.871961582274664, 4.825673888836588, 4.08992703471865, 3.5554477132502056, 3.1590187428962615, 2.864363831423578, 2.6522178444124402, 2.491413564199493, 2.3720505138238273, 2.2808778023435954, 2.211468974749247, 2.157262683624313, 2.1167570285144306, 2.086474238761834, 2.063028480325426, 2.0458042983497893]	0	0	[17327.920280604136, 58.89709881373814, 53.87291682334173, 48.43120216187977, 42.62668096451532, 36.72498272714161, 30.970837269510543, 25.56305929025014, 20.64998855761119, 16.32948571159726, 12.649850842498598, 9.613979658910207, 7.1867008691742305, 5.303995333966755, 3.884060216091928, 2.8385915082125437, 2.1026614776679446, 1.5685379082957904, 1.1726378092453593, 0.8779838493182546, 0.6656214609032586, 0.5059318406773465, 0.386166984037984, 0.2951572723686695, 0.22573251773913702, 0.172282874584198, 0.13186759608132498, 0.10126477408976782, 0.07808526108662288, 0.06074038999421256]	[2.9455139938564527, 1.9988984696212269, 1.9953345049704825, 1.9948412470874333, 1.992869684029193, 1.9926573275810195, 1.991271287202835, 1.9909248224326543, 1.9896879948320843, 1.9902835197391964, 1.9893853267033894, 1.9892249643093063, 1.9888274506444024, 1.9883844220922107, 1.987901360506103, 1.9870823838171505, 1.9872655393112273, 1.9869098031804675, 1.986380924426374, 1.9863799778478486, 1.9865963767681802, 1.9854817351415044, 1.9858835236657233, 1.9857205251852672, 1.9857364598484266, 1.984979805847009, 1.9848894292399997, 1.9852094707034884, 1.9849432185292244, 1.9850639062268394]
VAE_e30_lf1024_b5.0_hl128_lr1e-05	0	500	1024	5.0	1e-05	0	0	30	[116.8700361251831, 116.39868474006653, 116.32922649383545, 116.24797677993774, 116.26303958892822, 116.2988269329071, 116.28935503959656, 116.23408126831055, 116.23821520805359, 116.24507880210876, 116.2530586719513, 116.20215845108032, 116.16380786895752, 116.10584902763367, 116.12130236625671, 116.10974049568176, 116.0713996887207, 116.03530764579773, 116.13331317901611, 116.11177515983582, 116.12007308006287, 116.05859684944153, 116.05925917625427, 116.10841345787048, 116.07127237319946, 116.09991836547852, 116.10351967811584, 116.04429173469543, 116.0505096912384, 116.05718421936035]	[58189.547673407054, 300.8506513323103, 270.77802399226596, 238.43816761743454, 204.89653482891265, 171.90179847535632, 140.85606951940628, 112.75942473184494, 88.23680873144241, 67.57309503782363, 50.75690982455299, 37.53686996868679, 27.490110073770797, 20.09783824568703, 14.81205487818945, 11.113150034632001, 8.714138248137065, 6.884105994587853, 5.672072289955048, 4.704018794354939, 4.028852819686844, 3.5380842742465792, 3.1647697396221615, 2.8785878398588727, 2.65888226103215, 2.4946899662415185, 2.3690132924488614, 2.2759053898709163, 2.2069119825249626, 2.1533488638344265]	0	0	[58186.60730743408, 298.8519469669887, 268.78209141322543, 236.4438379378546, 202.90326100304014, 169.90983200073242, 138.86510111036756, 110.7683798699152, 86.24649398667472, 65.58307825951348, 48.76693475814093, 35.54747592835199, 25.50151931104206, 18.109602584725334, 12.823943592253185, 9.12565725190299, 6.727112335818155, 4.897190438849585, 3.6854707180034545, 2.71721974724815, 2.0426782759882154, 1.5518219091352963, 1.178897468461877, 0.8926367848401978, 0.6730914452955836, 0.5094817866172109, 0.3836788609623909, 0.2909128030850774, 0.2220910716624487, 0.16797138289326713]	[2.9401056039191427, 1.9987048247740382, 1.9959322611490886, 1.9943298413639976, 1.9932746763030689, 1.9919665363572894, 1.9909682298700015, 1.991044690211614, 1.9903147997600692, 1.9900166647774833, 1.9899749904870987, 1.9893940697823251, 1.9885907311524664, 1.988235708503496, 1.98811128167879, 1.9874927656991142, 1.9870259013204348, 1.9869155585765839, 1.9866015616626966, 1.9867990566861062, 1.9861745476013137, 1.9862623707879157, 1.9858722661932309, 1.9859510582117808, 1.9857908189296722, 1.9852081842365719, 1.9853344332604181, 1.9849925839475222, 1.9848208991544587, 1.985377478812422]
VAE_e30_lf1024_b10.0_hl128_lr1e-05	0	500	1024	10.0	1e-05	0	0	30	[117.04753303527832, 116.50670385360718, 116.45137786865234, 116.37631559371948, 116.35176920890808, 116.32297468185425, 116.34979486465454, 116.33724474906921, 116.32208728790283, 116.29909563064575, 116.30955243110657, 116.30641984939575, 116.29901838302612, 116.2874972820282, 116.2483959197998, 116.12312126159668, 116.08991622924805, 116.09935450553894, 116.10048079490662, 116.0908727645874, 116.09531760215759, 116.07267260551453, 115.98087644577026, 115.96269226074219, 115.96092462539673, 115.96594476699829, 115.89254641532898, 115.92591547966003, 115.92187976837158, 115.91365361213684]	[128440.8112561362, 589.0344507126581, 532.8185378483364, 472.3032800583612, 408.93993713742213, 345.889129002889, 285.8417503720238, 230.81556106749036, 182.16818114689417, 140.63660449073427, 106.38415075483776, 79.09602581887017, 58.08721055303301, 42.43781126113165, 31.127300239744642, 23.14944479011354, 17.6127450466156, 14.18388671534402, 11.330617231982094, 9.26593892347245, 7.819535428569431, 6.624059705507188, 5.6863972800118585, 4.9143759196712855, 4.282849910003798, 3.7642909380651655, 3.342088209731238, 2.998576875243868, 2.725353169299307, 2.518047699616069]	0	0	[128437.86939203172, 587.035880043393, 530.8230068570092, 470.3087276277088, 406.94659714471726, 343.89746411641437, 283.85076936086017, 228.82483641306558, 180.178124495915, 138.64669182187035, 104.39503497169132, 77.10743706566947, 56.09902871222723, 40.44962165469215, 29.139389974730356, 21.16218156473977, 15.625789506094796, 12.19661941982451, 9.34395183551879, 7.279222645929882, 5.8336332369418376, 4.638288866905939, 3.700114673801831, 2.928487702494576, 2.296887015302976, 1.7789171387751896, 1.3566535711288452, 1.0134456767922355, 0.7401692015784127, 0.5328777042173204]	[2.940972320380665, 1.9985703481804757, 1.9955316934557188, 1.994551858376889, 1.9933401253961383, 1.9916646402506601, 1.990981640915076, 1.9907245934009552, 1.9900567705432575, 1.9899124396698815, 1.9891159424469584, 1.9885885949645723, 1.988181852868625, 1.9881894847466832, 1.9879102579184942, 1.9872632282120841, 1.986955555776755, 1.9872673079371452, 1.9866653638226646, 1.986716288895834, 1.9859022008521217, 1.9857708329246158, 1.9862826008881842, 1.9858882260464488, 1.9859629145690374, 1.9853738024830818, 1.9854346403763408, 1.9851311998707908, 1.9851839712687902, 1.985170001430171]
VAE_e30_lf1024_b50.0_hl128_lr1e-05	0	500	1024	50.0	1e-05	0	0	30	[116.89453983306885, 116.3217089176178, 116.28725838661194, 116.27564477920532, 116.27095580101013, 116.226069688797, 116.17603397369385, 116.20528435707092, 116.21609997749329, 116.16539716720581, 116.12465643882751, 116.12078428268433, 116.12505006790161, 116.14216327667236, 115.99785614013672, 115.98676609992981, 115.9755368232727, 115.96930956840515, 115.92845129966736, 115.96285653114319, 115.92186236381531, 115.91593647003174, 115.92712688446045, 115.95392942428589, 115.98482084274292, 115.98147487640381, 115.9490795135498, 115.915367603302, 115.95683026313782, 115.93316340446472]	[672961.8134794689, 2922.2345428466797, 2644.5701773507253, 2344.9234517415366, 2031.6047345116026, 1720.4382088070824, 1424.5528157552083, 1153.6465405055455, 914.1637983776275, 709.476500919887, 540.2165384746734, 404.7235107421875, 299.61878040858676, 220.42745099748885, 162.22093636648995, 120.21265922273908, 90.17438991864522, 70.62984422274998, 54.42085034506662, 42.5258952606292, 34.07838887827737, 25.954511228061858, 20.13700478985196, 15.789647854509807, 12.411947619347345, 9.955961658841087, 8.778869728247324, 6.397397471325738, 5.334861444575446, 4.069004337702479]	0	0	[672958.8555029007, 2920.236863635835, 2642.5745515369235, 2342.929718744187, 2029.6118854341053, 1718.4461135864258, 1422.5614892868768, 1151.6554839724586, 912.173663003104, 707.4867862519764, 538.2272680373419, 402.7347704569499, 297.63048317318874, 218.43954413277763, 160.23286485671997, 118.22512485867455, 88.18676689692906, 68.64265185310727, 52.434128284454346, 40.53973270597912, 32.09167424270085, 23.968732277552288, 18.151509653954278, 13.803663937818436, 10.425965028149742, 7.970645483051028, 6.793366073142915, 4.412308693641708, 3.3500420855624333, 2.0841744169592857]	[2.953157446214131, 1.997680443738188, 1.9956281983426638, 1.9937279235039438, 1.9928477988356637, 1.9920981256734758, 1.9913263732478732, 1.991054239017623, 1.9901369774625415, 1.9897149787062691, 1.9892701208591461, 1.9887402760131019, 1.9882976845616387, 1.9879067714015644, 1.9880714874182428, 1.9875345882915316, 1.9876228854769753, 1.9871924845945268, 1.9867220095225744, 1.9861625269764946, 1.9867146958907445, 1.9857789302865665, 1.9854951060953594, 1.985983903564158, 1.9859825809087073, 1.9853161935295378, 1.985503689164207, 1.9850887812319256, 1.984819359367802, 1.984829913647402]
VAE_e30_lf512_b0.01_hl128_lr1e-05	0	500	512	0.01	1e-05	0	0	30	[54.24011754989624, 53.689159631729126, 53.657224893569946, 53.6302330493927, 53.65002202987671, 53.634461641311646, 53.654945611953735, 53.77434825897217, 53.74303579330444, 53.73214387893677, 53.72255301475525, 53.712775230407715, 53.72960352897644, 53.72668743133545, 53.62338447570801, 53.683674812316895, 53.723037004470825, 53.681804180145264, 53.68040418624878, 53.64750909805298, 53.677560329437256, 53.689913749694824, 53.68392467498779, 53.68578362464905, 53.6705641746521, 53.668736696243286, 53.69119310379028, 53.65099120140076, 53.61483025550842, 53.68925166130066]	[177.63412952068308, 2.627482676080295, 2.5736402911799297, 2.527271193407831, 2.4766836648895625, 2.4243600574277697, 2.3726059943437576, 2.3216185988414857, 2.272784871714456, 2.2287332869711376, 2.1877999986921037, 2.1517442684798014, 2.1204706888113702, 2.094753040089494, 2.073823032634599, 2.056786198346388, 2.0424560883215497, 2.032193890639714, 2.023738299806913, 2.017696476763203, 2.013384069715227, 2.0100953798918497, 2.006350915701616, 2.003844440692947, 2.0024712522115027, 2.0007796801981472, 1.9993162179986637, 1.997995832136699, 1.9974586548549789, 1.99613353432644]	0	0	[173.97106661549992, 0.6170557755089942, 0.5681207916211515, 0.5222672334916535, 0.4733748823581707, 0.42250284073608263, 0.3712307981082371, 0.3210625746509149, 0.27329537534110604, 0.22897915870306038, 0.18889141938693466, 0.15352358804306104, 0.12308803653078419, 0.09753755712881684, 0.07660278957337141, 0.05984496055836124, 0.046712772643548395, 0.03660437201393679, 0.028923142756823273, 0.023218668016072894, 0.018840402966209997, 0.01548184777354999, 0.012827562694881289, 0.010734293393657677, 0.00907099015395423, 0.007709319257022192, 0.006573598220711574, 0.005612797285374697, 0.0047906509356661926, 0.004079152367055593]	[3.663063864622797, 2.0104268987973533, 2.005519506122385, 2.0050039550378207, 2.0033087879419327, 2.0018572211265564, 2.001375195171152, 2.000556019090471, 1.999489497215975, 1.9997541283567746, 1.9989085850261508, 1.9982206849824815, 1.9973826518370992, 1.9972154867081415, 1.99722025011267, 1.9969412336746852, 1.9957433172634669, 1.9955895252171016, 1.994815159766447, 1.994477810249442, 1.9945436652217592, 1.9946135325091225, 1.9935233507837569, 1.9931101472604842, 1.9934002636444001, 1.9930703661271505, 1.9927426246660096, 1.9923830337467647, 1.992668007456121, 1.9920543790573166]
VAE_e30_lf512_b0.05_hl128_lr1e-05	0	500	512	0.05	1e-05	0	0	30	[54.28370523452759, 53.68663477897644, 53.686559438705444, 53.594348430633545, 53.66475224494934, 53.65039873123169, 53.6194224357605, 53.60857105255127, 53.536288022994995, 53.68094301223755, 53.634767293930054, 53.583667039871216, 53.63792109489441, 53.63086152076721, 53.63035273551941, 53.64141869544983, 53.647448778152466, 53.57708215713501, 53.59384727478027, 53.56484627723694, 53.52203106880188, 53.575807094573975, 53.57203698158264, 53.552974700927734, 53.57454800605774, 53.575140714645386, 53.58005094528198, 53.583277225494385, 53.56251335144043, 53.55871057510376]	[1374.2310289868287, 5.202159532478878, 4.965099259501412, 4.763872421923137, 4.549956239405132, 4.320306171263967, 4.082803411143167, 3.8422893456050327, 3.6043581607795896, 3.375062406772659, 3.161552137562207, 2.963538030783335, 2.7872722035362605, 2.632575756737164, 2.5006416780608043, 2.3912725753727413, 2.3018091441619966, 2.2317374710525786, 2.1769509656088695, 2.134951161486762, 2.103357877050127, 2.0803076649705567, 2.0634754481060162, 2.048828998137088, 2.037829612337408, 2.0297319626524333, 2.0223264790007045, 2.0174160230727423, 2.012858954568704, 2.0092025133115903]	0	0	[1370.5612761718887, 3.1915282763185955, 2.9590945016770136, 2.7594692139398482, 2.5458561767424857, 2.3180417099169324, 2.08105527396713, 1.8410737337101073, 1.6042272381129719, 1.3761790997925258, 1.1618479914253665, 0.965181268219437, 0.7890362574585846, 0.6350965449320418, 0.5038618862274147, 0.3947386108338833, 0.3061992736710679, 0.23604115622029417, 0.18160572413000323, 0.14012317000223057, 0.1089073916719783, 0.08614068456171524, 0.06929407808707938, 0.05503107574103134, 0.044607970192806705, 0.036534163618593345, 0.030096215744768933, 0.024844828017410777, 0.020479485622629346, 0.016814456312983696]	[3.6697499940083143, 2.0106312593533877, 2.006004753212134, 2.0044032090476582, 2.0041000694036484, 2.002264459927877, 2.0017481389499845, 2.0012156150880314, 2.0001309230214073, 1.9988833044966061, 1.999704139928023, 1.9983567623865037, 1.9982359427071752, 1.9974792060397921, 1.9967797930751527, 1.9965339636518842, 1.995609873462291, 1.9956963143887974, 1.995345250481651, 1.9948279960524469, 1.9944504815198125, 1.99416697876794, 1.9941813708061265, 1.9937979220634414, 1.9932216466182755, 1.9931977983741533, 1.9922302631395203, 1.9925711970953714, 1.9923794670473962, 1.9923880582764035]
